id;title;year;exact_date;type;eraId;language;driveFileId;lat;lng;description;tags;regions;themes
rev-v2-01;Carpeta Raíz Revistas;1920;1920-01-01;newspaper;S20;es;1UBpmyHiM9GusHTTcm8MwYkWvNGEFTBjt;40.41;-3.70;Advertencia: Este es el ID de la carpeta raíz. Se mostrará como error controlado.;Error;MADRID;SOC
rev-v2-02;Revista Doc 01;1921;1921-02-01;newspaper;S20;es;1bkOP01UA7eHUYg0x092MXBG4HsPnypbc;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-03;Revista Doc 02;1922;1922-03-01;newspaper;S20;es;10Yq3nNyiAhdsrA1naHMY64YrIiXsmwaX;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
rev-v2-04;Revista Doc 03;1923;1923-04-01;newspaper;S20;es;1K8hMroPXcuKig5wsOJ5yuP_-C3vM1pyu;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-05;Revista Doc 04;1924;1924-05-01;newspaper;S20;es;15wzVV2hEd2V57E-RNp6n3AhsnUFl-2O-;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
rev-v2-06;Revista Doc 05;1925;1925-06-01;newspaper;S20;es;1N-bD9gbUP-TPPEMEn5sp5N6Qy-YdrqgJ;40.41;-3.70;Documento histórico real de la Hemeroteca Noor.;Documental|SigloXX;MADRID;SOC
rev-v2-07;Revista Doc 06;1920;1920-07-01;newspaper;S20;es;1iZ0lKiDP68AzYfwIQKiFRfLuZBy4gaci;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-08;Revista Doc 07;1921;1921-08-01;newspaper;S20;es;1uxQwncm6ccMsz2ZcsBcdIaTXpwVFSlxh;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
rev-v2-09;Revista Doc 08;1922;1922-09-01;newspaper;S20;es;1BWg--3rwp2BSq4CyNMbql5u03gId475_;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-10;Revista Doc 09;1923;1923-10-01;newspaper;S20;es;1RzQx0qEm5G_D3LDX0-s6skDmG4P8Sj03;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
rev-v2-11;Revista Doc 10;1924;1924-11-01;newspaper;S20;es;1BH2-GQWWq6wG78kNsAA4zs40i0YgNkM8;40.41;-3.70;Documento histórico real de la Hemeroteca Noor.;Documental|SigloXX;MADRID;SOC
rev-v2-12;Revista Doc 11;1925;1925-12-01;newspaper;S20;es;1x6rlS_MrLDCmeu_UTskRySp5SIxkIvJ2;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-13;Revista Doc 12;1920;1920-01-01;newspaper;S20;es;1v99mSnHWNZs8XVUa5cM3tTbOGKda7gaM;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
rev-v2-14;Revista Doc 13;1921;1921-02-01;newspaper;S20;es;1TLvCEppKvbfeA2ZTvrulr8pqXTwsQUY9;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-15;Revista Doc 14;1922;1922-03-01;newspaper;S20;es;1tjFxaijFqPYdq5xxUYjOnond_RWPFXJn;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
rev-v2-16;Revista Doc 15;1923;1923-04-01;newspaper;S20;es;1m10evlaxd8YH6tIhYy4jENcfNl2Fr-29;40.41;-3.70;Documento histórico real de la Hemeroteca Noor.;Documental|SigloXX;MADRID;SOC
rev-v2-17;Revista Doc 16;1924;1924-05-01;newspaper;S20;es;1-uN_vRTJxB9YyYm_d-B0B0wWuIiENC89;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-18;Revista Doc 17;1925;1925-06-01;newspaper;S20;es;16sjvduNHLYYuhed-AtRHjv2cjE5W_R2M;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
rev-v2-19;Revista Doc 18;1920;1920-07-01;newspaper;S20;es;1N7RylCyRGqkMNEV_UcbDmimfP-n8MFe3;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-20;Revista Doc 19;1921;1921-08-01;newspaper;S20;es;1WOQ2kjyGnCTqNpvcVpX_mNkLWTEWIeU5;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
rev-v2-21;Revista Doc 20;1922;1922-09-01;newspaper;S20;es;1gTtaj8VJv8CqrnwsnoZGA6U0t5JCaHwj;40.41;-3.70;Documento histórico real de la Hemeroteca Noor.;Documental|SigloXX;MADRID;SOC
rev-v2-22;Revista Doc 21;1923;1923-10-01;newspaper;S20;es;1rQ__Bs9v5KAh4DxotAW-Yr4RylbP7PnB;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-23;Revista Doc 22;1924;1924-11-01;newspaper;S20;es;1vSt4HTsninGj12uFvpP6AX1buIhdvPdh;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
rev-v2-24;Revista Doc 23;1925;1925-12-01;newspaper;S20;es;1hoekxi4AZNEiRziNEMRr8gL-GanEJPVV;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-25;Revista Doc 24;1920;1920-01-01;newspaper;S20;es;1A7qx2cfDqt-v4uFiut-d5-gzP3wq0alL;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
rev-v2-26;Revista Doc 25;1921;1921-02-01;newspaper;S20;es;1mrhqRcFt4cgdbsKbJyCqKswS9-POXTnD;40.41;-3.70;Documento histórico real de la Hemeroteca Noor.;Documental|SigloXX;MADRID;SOC
rev-v2-27;Revista Doc 26;1922;1922-03-01;newspaper;S20;es;1vAiQElmw0bQYoiGOsyvPrqGVi4I1HI93;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-28;Revista Doc 27;1923;1923-04-01;newspaper;S20;es;1L2pXfxFE-ABO2TQhc_k7ROMQtvkeTf4I;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
